Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-j7g2,gender Response,gender Quantised,age Value,parh1 Response,parh1 Quantised,parh2 Response,parh2 Quantised,parh3 Response,parh3 Quantised,parh4 Response,parh4 Quantised,hypothesis Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,1&#46; What gender do you identify as?,1&#46; What gender do you identify as?,2&#46; How old are you?,3&#46; I knew what the researchers were investigating in this research. ,3&#46; I knew what the researchers were investigating in this research. ,4&#46; I wasn’t sure what the researchers were trying to demonstrate in this research. ,4&#46; I wasn’t sure what the researchers were trying to demonstrate in this research. ,5&#46; I had a good idea about what the hypotheses were in this research. ,5&#46; I had a good idea about what the hypotheses were in this research. ,6&#46; I was unclear about exactly what the researchers were aiming to prove in this research. ,6&#46; I was unclear about exactly what the researchers were aiming to prove in this research. ,7&#46; What do you think the study was about?
1,1689936621048,21/07/2023 10:50:21,1689940221048,1,21/07/2023 12:50:21,139320,6,questionnaire-mrgd,,30792344,BLIND,9143399,,complete,,64ba6f8fe825b1e5b7091160,mobile,undefined K,Android 10,Chrome 114.0.0.0,360x780,360x648,,demographics,4,asynchronous first,Male,1,25,1,5,-1,3,1,5,-1,3,people perceiving their vr body as their real body.
1,1689936802677,21/07/2023 10:53:22,1689940402677,1,21/07/2023 12:53:22,139320,6,questionnaire-mrgd,,30792431,BLIND,9143401,,complete,,64ba6f9cef2670e70994468b,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1280x800,1273x697,,demographics,4,synchronous first,Female,2,32,2,6,-1,3,0,4,-1,3,"It was ok, questions could be a little clearer. I assumed you were testing the connection participants feel to VR avatars and instruction on how to achieve connection."
1,1689936880498,21/07/2023 10:54:40,1689940480498,1,21/07/2023 12:54:40,139320,6,questionnaire-mrgd,,30792471,BLIND,9143409,,complete,,64ba7026b173d4a486a2a408,mobile,Apple iPhone,iOS 16.1.1,Mobile Safari 16.1,375x812,375x629,,demographics,4,synchronous first,Male,1,31,-2,2,2,6,-2,2,2,6,The VR experience and how wearers feel in different situations
1,1689911736489,21/07/2023 03:55:36,1689940536489,8,21/07/2023 19:55:36,139320,6,questionnaire-mrgd,,30792487,BLIND,9143422,,complete,,64ba70abceb045e9f731899c,tablet,Apple iPad,iOS 16.5,Chrome 115.0.5790.130,1024x1366,1024x1243,,demographics,4,asynchronous first,Female,2,53,-2,2,1,5,-3,1,-3,1,dont know
END OF FILE
