Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,gender Response,gender Quantised,age Value,parh1 Response,parh1 Quantised,parh2 Response,parh2 Quantised,parh3 Response,parh3 Quantised,parh4 Response,parh4 Quantised,hypothesis Value
,,,,,,,,,,,,,,,,,,,,,,,,,,1&#46; What gender do you identify as?,1&#46; What gender do you identify as?,2&#46; How old are you?,3&#46; I knew what the researchers were investigating in this research. ,3&#46; I knew what the researchers were investigating in this research. ,4&#46; I wasn’t sure what the researchers were trying to demonstrate in this research. ,4&#46; I wasn’t sure what the researchers were trying to demonstrate in this research. ,5&#46; I had a good idea about what the hypotheses were in this research. ,5&#46; I had a good idea about what the hypotheses were in this research. ,6&#46; I was unclear about exactly what the researchers were aiming to prove in this research. ,6&#46; I was unclear about exactly what the researchers were aiming to prove in this research. ,7&#46; What do you think the study was about?
1,1689936834683,21/07/2023 10:53:54,1689940434683,1,21/07/2023 12:53:54,139290,5,questionnaire-sxre,,30792453,BLIND,9143435,,complete,,64ba70fd1da81a4df4091155,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1440x821,,demographics,4,Female,2,41,-2,2,2,6,-2,2,2,6,To what extent we perceived virtual reality as reality
1,1689936840121,21/07/2023 10:54:00,1689940440121,1,21/07/2023 12:54:00,139290,5,questionnaire-sxre,,30792456,BLIND,9143439,,complete,,64ba7108524cdb6f33da7f7e,mobile,Samsung SM-M135F,Android 13,Samsung Browser 22.0,384x857,384x737,,demographics,4,Female,2,31,1,5,0,4,1,5,0,4,to see if people feel like they are the character in the virtual world
1,1689936898226,21/07/2023 10:54:58,1689940498226,1,21/07/2023 12:54:58,139290,5,questionnaire-sxre,,30792476,BLIND,9143438,,complete,,64ba7106854f62713df477e2,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1369x630,1366x629,,demographics,4,Male,1,47,-2,2,-2,2,-2,2,-2,2,not sure
1,1689936711792,21/07/2023 10:51:51,1689940311792,1,21/07/2023 12:51:51,139290,5,questionnaire-sxre,,30792391,BLIND,9143418,,complete,,64ba70848e3c43c5f3ed3294,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1280x720,1280x569,,demographics,4,Male,1,19,-1,3,1,5,-1,3,-1,3,"I liked it, it was unique as I have never seen this topic discussed in a study."
END OF FILE
